,I,V,wavegen_ampl,phase,avg_x,pk_pk
0,0.562,13.55,0.003,180,0.45802,0.15
1,0.558,13.45,0.003,180,0.455,0.18
2,0.553,13.33,0.003,180,0.45063000000000003,0.24
3,0.547,13.2,0.00266,180,0.44629,0.29
4,0.539,13.0,0.00284,180,0.4398,0.47
5,0.534,12.89,0.0029,180,0.43551,0.6
6,0.531,12.8,0.0029100000000000003,180,0.43291,0.59
7,0.527,12.71,0.003,180,0.42954000000000003,0.51
8,0.524,12.65,0.003,180,0.42762,0.38
9,0.524,12.64,0.003,180,0.42706,0.33
10,0.518,12.5,0.00294,0,0.42273000000000005,0.28
11,0.516,12.45,0.003,0,0.42087,0.42
12,0.514,12.4,0.00294,0,0.41964999999999997,0.5
13,0.511,12.35,0.003,0,0.41707,0.56
14,0.51,12.3,0.003,0,0.41533,0.57
15,0.506,12.2,0.00296,0,0.41285000000000005,0.53
16,0.504,12.15,0.003,0,0.4104,0.48
17,0.498,12.0,0.00294,0,0.40604,0.37
18,0.489,11.8,0.0029100000000000003,0,0.39884,0.23
19,0.485,11.7,0.00294,0,0.39577,0.19
